identifier1	identifier2	annotator	judgment	comment	lemma
1572	1573	0	4		дядя
1572	1573	1	4		дядя
1572	1573	2	4		дядя
1574	1575	0	4		дядя
1574	1575	1	1		дядя
1574	1575	2	3		дядя
1576	1577	0	4		дядя
1576	1577	1	4		дядя
1576	1577	2	4		дядя
1578	1579	0	4		дядя
1578	1579	1	1		дядя
1578	1579	2	4		дядя
1580	1581	0	4		дядя
1580	1581	1	4		дядя
1580	1581	2	3		дядя
1582	1583	0	4		дядя
1582	1583	1	1		дядя
1582	1583	2	4		дядя
1584	1585	0	4		дядя
1584	1585	1	4		дядя
1584	1585	2	4		дядя
1586	1587	0	4		дядя
1586	1587	1	4		дядя
1586	1587	2	4		дядя
1588	1589	0	3		дядя
1588	1589	1	4		дядя
1588	1589	2	1		дядя
1590	1591	0	4		дядя
1590	1591	1	1		дядя
1590	1591	2	4		дядя
1592	1593	0	4		дядя
1592	1593	1	3		дядя
1592	1593	2	4		дядя
1594	1595	0	4		дядя
1594	1595	1	4		дядя
1594	1595	2	4		дядя
1596	1597	0	4		дядя
1596	1597	1	4		дядя
1596	1597	2	3		дядя
1598	1599	0	3		дядя
1598	1599	1	1		дядя
1598	1599	2	4		дядя
1600	1601	0	4		дядя
1600	1601	1	3		дядя
1600	1601	2	4		дядя
1602	1603	0	4		дядя
1602	1603	1	4		дядя
1602	1603	2	4		дядя
1604	1605	0	4		дядя
1604	1605	1	4		дядя
1604	1605	2	4		дядя
1606	1607	0	4		дядя
1606	1607	1	4		дядя
1606	1607	2	4		дядя
1608	1609	0	2		дядя
1608	1609	1	4		дядя
1608	1609	2	1		дядя
1610	1611	0	4		дядя
1610	1611	1	3		дядя
1610	1611	2	1		дядя
1612	1613	0	4		дядя
1612	1613	1	4		дядя
1612	1613	2	4		дядя
1614	1615	0	3		дядя
1614	1615	1	4		дядя
1614	1615	2	3		дядя
1616	1617	0	2		дядя
1616	1617	1	1		дядя
1616	1617	2	1		дядя
1618	1619	0	4		дядя
1618	1619	1	4		дядя
1618	1619	2	4		дядя
1620	1621	0	4		дядя
1620	1621	1	4		дядя
1620	1621	2	4		дядя
1622	1623	0	4		дядя
1622	1623	1	3		дядя
1622	1623	2	3		дядя
1624	1625	0	1		дядя
1624	1625	1	3		дядя
1624	1625	2	3		дядя
1626	1627	0	2		дядя
1626	1627	1	4		дядя
1626	1627	2	3		дядя
1628	1629	0	4		дядя
1628	1629	1	4		дядя
1628	1629	2	3		дядя
1630	1631	0	4		дядя
1630	1631	1	3		дядя
1630	1631	2	4		дядя
